volume,tp,st,td.balanceNow,closedPositions,positionsTotal
0.01, 0.6000000000000001, 0.30000000000000004, 999710.3862099994, 1004, 996
0.01, 0.6000000000000001, 0.4, 999906.9035399999, 231, 1769
0.01, 0.6000000000000001, 0.5, 999957.8922299996, 1570, 430
0.01, 0.6000000000000001, 0.6000000000000001, 999999.3248500007, 1531, 469
0.01, 0.6000000000000001, 0.7000000000000001, 1000006.2649999999, 162, 1838
0.01, 0.6000000000000001, 0.8, 999907.05832, 993, 1007
0.01, 0.6000000000000001, 0.9, 1000008.4369600001, 14, 1986
0.01, 0.6000000000000001, 1.0, 1000030.7193399998, 51, 1949
0.01, 0.7000000000000001, 0.0, 999940.3657299984, 1999, 1
0.01, 0.7000000000000001, 0.1, 999830.8897799987, 1642, 358
0.01, 0.7000000000000001, 0.2, 999824.3314499989, 1628, 372
0.01, 0.7000000000000001, 0.30000000000000004, 1000185.4437700005, 1510, 490
0.01, 0.7000000000000001, 0.4, 999793.5794899993, 998, 1002
0.01, 0.7000000000000001, 0.5, 1000111.3138199999, 1433, 567
0.01, 0.7000000000000001, 0.6000000000000001, 999927.6650599999, 120, 1880
0.01, 0.7000000000000001, 0.7000000000000001, 999908.62097, 670, 1330
0.01, 0.7000000000000001, 0.8, 1000000.0, 0, 2000
0.01, 0.7000000000000001, 0.9, 999895.0580400004, 1660, 340
0.01, 0.7000000000000001, 1.0, 1000099.4213600004, 384, 1616
0.01, 0.8, 0.0, 999939.9822699996, 1999, 1
0.01, 0.8, 0.1, 999892.5700600006, 1781, 219
0.01, 0.8, 0.2, 999718.4805100001, 1388, 612
0.01, 0.8, 0.30000000000000004, 999634.0505699998, 1219, 781
0.01, 0.8, 0.4, 999761.8145999997, 591, 1409
0.01, 0.8, 0.5, 999654.0117900001, 1428, 572
0.01, 0.8, 0.6000000000000001, 999973.4601100001, 44, 1956
0.01, 0.8, 0.7000000000000001, 999931.7792599999, 97, 1903
0.01, 0.8, 0.8, 999999.0434799998, 781, 1219
0.01, 0.8, 0.9, 1000011.95882, 68, 1932
0.01, 0.8, 1.0, 1000005.6201500001, 7, 1993
0.01, 0.9, 0.0, 999939.9992800009, 1999, 1
0.01, 0.9, 0.1, 999826.8998800006, 1682, 318
0.01, 0.9, 0.2, 1000009.66593, 1216, 784
0.01, 0.9, 0.30000000000000004, 999706.8865500003, 967, 1033
0.01, 0.9, 0.4, 999833.1039199996, 414, 1586
0.01, 0.9, 0.5, 1000083.3752299999, 1268, 732
0.01, 0.9, 0.6000000000000001, 999993.3656900001, 11, 1989
0.01, 0.9, 0.7000000000000001, 999996.48854, 5, 1995
0.01, 0.9, 0.8, 1000047.2074500005, 895, 1105
0.01, 0.9, 0.9, 1000000.0, 0, 2000
0.01, 0.9, 1.0, 999982.0231800001, 493, 1507
0.01, 1.0, 0.0, 999939.662499998, 1999, 1
0.01, 1.0, 0.1, 1000023.8423200005, 1734, 266
0.01, 1.0, 0.2, 999973.7971499996, 1092, 908
0.01, 1.0, 0.30000000000000004, 999661.9290900005, 1117, 883
0.01, 1.0, 0.4, 999631.1895699997, 915, 1085
